,UMLS_CUI,synonyms,root
0,C0020538,"BP - High blood pressure,BP+ - Hypertension,HBP - High blood pressure,HT - Hypertension,HTN - Hypertension,High blood pressure,High blood pressure disorder,Hypertension,Hypertensive disorder,Hypertensive disorder, systemic arterial,Hypertensive disorder, systemic arterial (disorder),Hypertensive vascular degeneration,Hypertensive vascular disease,Systemic arterial hypertension,high blood pressure","Hypertensive disorder, systemic arterial"
1,C0020473,"HLD - Hyperlipidaemia,HLD - Hyperlipidemia,Hyperlipidaemia,Hyperlipidemia,Hyperlipidemia (disorder),Hyperlipidemia, unspecified,Lipidaemia,Lipidemia",Hyperlipidemia
2,C0011581,"Depression,Depressive disorder,Depressive disorder (disorder),Depressive disorder NOS,Depressive illness,Depressive neurosis,Depressive neurosis,Mood disorder of depressed type",Depressive disorder
3,C0017168,"Esophageal reflux NOS,GERD - Gastro-esophageal reflux disease,GERD,Gastric Reflux,GOR - Gastro-esophageal reflux,GOR - Gastro-oesophageal reflux,GORD - Gastro-esophageal reflux disease,GORD - Gastro-oesophageal reflux disease,Gastro-esophageal reflux,Gastro-esophageal reflux disease,Gastro-esophageal reflux disease,Gastro-oesophageal reflux,Gastro-oesophageal reflux disease,Gastroesophageal reflux disease,Gastroesophageal reflux disease (disorder),Gastrooesophageal reflux disease",Gastroesophageal reflux disease
4,C0011860,"Diabetes mellitus type 2,Diabetes mellitus type 2 (disorder),Diabetes mellitus type II,Type 2 diabetes mellitus,Type 2 diabetes mellitus,Type II diabetes mellitus",Diabetes mellitus type 2
5,C0085580,"Essential (primary) hypertension,Essential hypertension,Essential hypertension (disorder),Idiopathic hypertension,Primary hypertension,Systemic primary arterial hypertension",Essential hypertension
6,C0028754,"Obese,Obese (finding),Obesity,Obesity (disorder),Obesity NOS,Obesity, unspecified",Obesity
7,C0011849,"DM - Diabetes mellitus,Diabetes mellitus,Diabetes mellitus (E08-E13),Diabetes mellitus (disorder)",Diabetes mellitus
8,C0004096,"Airway hyperreactivity,Asthma,Asthma,Asthma (disorder),Asthma NOS,Asthmatic,Bronchial asthma,Unspecified asthma",Asthma
9,C0010054,"Arteriosclerotic heart disease,Atherosclerosis of coronary artery,Atherosclerosis of coronary artery (disorder),Atherosclerosis of native coronary artery,Atherosclerotic heart disease NOS,Cardiac sclerosis,Coronary (artery) atherosclerosis,Coronary (artery) sclerosis,Coronary arteriosclerosis,Coronary arteriosclerosis (disorder),Coronary atherosclerosis,Coronary sclerosis",Coronary arteriosclerosis
10,C0010054,"Arteriosclerotic heart disease,Atherosclerosis of coronary artery,Atherosclerosis of coronary artery (disorder),Atherosclerosis of native coronary artery,Atherosclerotic heart disease NOS,Cardiac sclerosis,Coronary (artery) atherosclerosis,Coronary (artery) sclerosis,Coronary arteriosclerosis,Coronary arteriosclerosis (disorder),Coronary atherosclerosis,Coronary sclerosis",Atherosclerosis of coronary artery
11,C2607914,"AR - Allergic rhinitis,Allergic rhinitis,Allergic rhinitis (disorder),Allergic rhinitis due to allergen,Allergic rhinitis, unspecified,Atopic rhinitis",Allergic rhinitis
12,C0020676,"Hypothyroid,Hypothyroidism,Hypothyroidism (disorder),Hypothyroidism, unspecified",Hypothyroidism
13,C0041912,"URI - Upper respiratory infection,URTI - Infection of the upper respiratory tract,Upper respiratory infection,Upper respiratory infection (disorder),Upper respiratory infection NOS,Upper respiratory tract infection",Upper respiratory infection
14,C0020443,"High cholesterol,Hypercholesterolaemia,Hypercholesterolemia,Hypercholesterolemia (disorder)",Hypercholesterolemia
15,C0029408,"Degenerative arthritis,Degenerative arthropathy,Degenerative joint disease,Degenerative polyarthritis,Degenerative polyarthritis (disorder),Hypertrophic arthritis,Hypertrophic polyarthritis,OA - Osteoarthritis,OA - Osteoarthrosis,Osteoarthritis,Osteoarthritis (M15-M19),Osteoarthritis (disorder),Osteoarthritis NOS,Osteoarthritis, unspecified site,Osteoarthrosis",Osteoarthritis
