,UMLS_CUI,synonyms,root
0,C0004604,"Back ache,Back pain,Back pain NOS,Backache,Backache (finding),Backache NOS,Dorsalgia,Dorsalgia, unspecified,Pain in back",Backache
1,C0000737,"AP - Abdominal pain,Abdominal pain,Abdominal pain (finding),Unspecified abdominal pain",Abdominal pain
2,C0024031,"LBP - Low back pain,Low back pain,Low back pain,Low back pain (finding),Low back syndrome,Lumbago,Lumbago NOS,Lumbalgia,Lumbar pain,Nonspecific pain in the lumbar region",Low back pain
3,C0003467,"Anxiety,Anxiety (finding),Anxiety reaction,Anxiety reaction,Anxiousness,Feeling anxious",Anxiety
4,C0008031,"Chest pain,Chest pain (finding),Chest pain, unspecified",Chest pain
5,C0018681,"Cephalalgia,Cephalgia,Cephalodynia,HA - Headache,Head pain,Headache,Headache,Headache (finding),Pain in head",Headache
6,C0549206,"Pregnancy not delivered,Pregnant,Pregnant (finding)",Pregnant
7,C0231749,"Arthralgia of knee,Gonalgia,Knee joint pain,Knee pain,Knee pain (finding),Pain in knee,Pain in unspecified knee",Knee pain
8,C0010200,"C/O - cough,Complaining of cough,Complaining of cough (finding),Cough,Cough,Cough (finding),Coughing,Coughing (observable entity),Observation of cough",Cough
9,C0009806,"CN - Constipation,Constipated,Constipation,Constipation,Constipation (finding),Constipation, unspecified,Costiveness,Difficult passing motion,Difficulty defaecating,Difficulty defecating,Difficulty opening bowels,Difficulty passing stool",Constipation
10,C0015672,"Fatigue,Fatigue (finding),Fatigue NOS,Lack of energy,Lack of energy,Lack of energy (finding),Lacking in energy,Tiredness,Weariness",Fatigue
11,C1384485,"Delivery normal,Delivery normal (finding),FTND - Full term normal delivery,Normal delivery,SVD - Spontaneous vaginal delivery,Spontaneous vaginal delivery",Delivery normal
12,C3853727,"Tobacco use,Tobacco user,Tobacco user (finding)",Tobacco user
13,C0007859,"Cervical pain,Cervicalgia,Cervicalgia,Neck ache,Neck pain,Neck pain (finding),Nonspecific pain in the neck region,Painful neck",Neck pain
14,C0004093,"Asthenia,Asthenia (finding),Asthenia NOS",Asthenia
